Formula label,helper lipid,NP ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU in HepG2,RLU in N2a,RLU in ARPE19
1,18PG,4,200,20,500,2.303,6.161,3.892
2,18PG,8,200,20,500,1.609,6.073,3.807
3,18PG,12,200,20,500,2.015,4.543,2.565
4,18PG,4,200,40,500,2.565,5.056,2.944
5,18PG,8,200,40,500,2.803,5.303,3.045
6,18PG,12,200,40,500,1.872,4.533,2.944
7,18PG,4,200,60,500,2.639,4.86,2.565
8,18PG,8,200,60,500,2.89,4.564,2.398
9,18PG,12,200,60,500,2.197,5.872,1.609
10,18PG,4,200,80,500,1.253,3.466,0.693
11,18PG,8,200,80,500,1.792,4.419,1.792
12,18PG,12,200,80,500,1.099,5.476,1.609
13,18PG,4,100,20,500,1.705,5.756,5.497
14,18PG,8,100,20,500,2.251,5.58,5.497
15,18PG,12,100,20,500,1.253,4.779,5.094
16,18PG,4,100,40,500,2.251,4.625,3.219
17,18PG,8,100,40,500,2.351,4.754,4.06
18,18PG,12,100,40,500,2.079,4.522,4.174
19,18PG,4,100,60,500,1.946,4.934,2.398
20,18PG,8,100,60,500,1.872,4.984,2.303
21,18PG,12,100,60,500,2.251,4.898,1.946
22,18PG,4,100,80,500,2.14,5.043,2.833
23,18PG,8,100,80,500,1.504,5.165,1.946
24,18PG,12,100,80,500,1.099,5.617,1.386
25,18PG,4,50,20,500,1.253,4.844,5.447
26,18PG,8,50,20,500,1.792,4.977,5.561
27,18PG,12,50,20,500,2.674,4.19,4.828
28,18PG,4,50,40,500,3.091,5.242,4.554
29,18PG,8,50,40,500,1.872,4.779,4.956
30,18PG,12,50,40,500,2.251,4.454,4.86
31,18PG,4,50,60,500,1.946,5.063,1.946
32,18PG,8,50,60,500,2.251,4.883,2.485
33,18PG,12,50,60,500,3.584,5.198,1.609
34,18PG,4,50,80,500,3.611,4.277,1.792
35,18PG,8,50,80,500,2.803,5.204,1.946
36,18PG,12,50,80,500,0.693,5.434,2.079
37,18PG,4,10,20,500,1.099,5.242,4.127
38,18PG,8,10,20,500,2.833,4.673,3.526
39,18PG,12,10,20,500,3.199,3.97,3.045
40,18PG,4,10,40,500,2.773,5.366,2.485
41,18PG,8,10,40,500,2.351,5.088,3.045
42,18PG,12,10,40,500,2.674,5.182,2.303
43,18PG,4,10,60,500,1.705,5.743,1.792
44,18PG,8,10,60,500,3.839,6.073,1.386
45,18PG,12,10,60,500,3.526,6.261,1.792
46,18PG,4,10,80,500,2.015,5.591,1.792
47,18PG,8,10,80,500,3.258,5.849,1.609
48,18PG,12,10,80,500,1.386,6.913,2.197
49,18PG,4,1,20,500,1.253,1.946,0.693
50,18PG,8,1,20,500,1.099,1.099,1.099
51,18PG,12,1,20,500,1.504,1.792,2.079
52,18PG,4,1,40,500,2.862,1.946,1.609
53,18PG,8,1,40,500,0.916,1.609,1.386
54,18PG,12,1,40,500,1.386,3.258,1.099
55,18PG,4,1,60,500,0.916,1.792,1.609
56,18PG,8,1,60,500,1.099,2.197,1.386
57,18PG,12,1,60,500,1.253,1.386,1.099
58,18PG,4,1,80,500,1.386,1.609,1.386
59,18PG,8,1,80,500,0,0.693,1.386
60,18PG,12,1,80,500,1.099,1.386,1.609
61,18PG,4,200,20,100,2.14,5.677,5.242
62,18PG,8,200,20,100,1.609,5.17,5.1
63,18PG,12,200,20,100,2.303,3.951,3.761
64,18PG,4,200,40,100,3.091,5.308,4.86
65,18PG,8,200,40,100,4.234,3.178,5.347
66,18PG,12,200,40,100,3.135,4.344,3.584
67,18PG,4,200,60,100,4.167,5.313,2.89
68,18PG,8,200,60,100,3.314,4.554,3.497
69,18PG,12,200,60,100,3.57,5.278,1.792
70,18PG,4,200,80,100,1.872,4.682,1.946
71,18PG,8,200,80,100,2.485,3.497,1.609
72,18PG,12,200,80,100,2.603,5.136,1.946
73,18PG,4,100,20,100,1.946,5.908,5.338
74,18PG,8,100,20,100,1.705,5.13,5.05
75,18PG,12,100,20,100,1.946,4.443,3.689
76,18PG,4,100,40,100,2.97,5.407,4.673
